 ID	News	predicted
FAKE_3015	ഗാസയിലേക്ക് ചുമടായി ഭക്ഷണവും വെള്ളവും എത്തിക്കുന്ന നൂറുകണക്കിന് ഈജിപ്‌തുകാര്‍', വീഡിയോ വ്യാജം	PARTLY FALSE
FAKE_3016	ഗാസയിൽ ഇസ്രയേല്‍ യുദ്ധ ഹെലികോപ്റ്റര്‍ ഹമാസ് വെടിവച്ചിട്ടോ; വീഡിയോ പ്രചരിക്കുന്നു	PARTLY FALSE
FAKE_3017	പലസ്തീന്‍ പതാക വീശി ഗാസയ്ക്ക് പിന്തുണയുമായി ക്രിസ്റ്റ്യാനോ റൊണാള്‍ഡോ'! വീഡിയോ വൈറല്‍, ശരിയോ?	MOSTLY FALSE
FAKE_3018	പലസ്‌തീന് പരസ്യ പിന്തുണയുമായി അയര്‍ലന്‍ഡിലെ ഫുട്ബോള്‍ കാണികള്‍?	PARTLY FALSE
FAKE_3019	മലയാളി നടനും സംവിധായകനുമായ കലാഭവൻ ഷാജോണും കുടുംബവും കോൺഗ്രസിൽ ചേർന്നു.	MOSTLY FALSE
FAKE_3020	നാളികേര വികസന ബോർഡ് എന്ന് മലയാളത്തിൽ അറിയപ്പെടുന്ന Coconut Development Boardന്റെ (CDB) വൈസ് ചെയർമാനായി 2014ൽ ബിജെപി സ്ഥാനാർഥിയായി താനൂരിൽ മത്സരിച്ച നാരായണൻ മാസ്റ്ററെ പിണറായി സർക്കാർ നിയമിച്ചു	MOSTLY FALSE
FAKE_3021	മലയാളിയായ ഐഎസ് അംഗം നജീബ് അൽഹിന്ദിനുശേഷം മുഹമ്മദ് മുഹ്സിന്‍ എന്ന മറ്റൊരു മലയാളികൂടി അഫ്‌ഘാനിസ്ഥാനിൽ കൊല്ലപ്പെട്ടു.	MOSTLY FALSE
FAKE_3022	വാരിയം കുന്നനെ അറസ്റ്റ് ചെയ്തതായി മലയാള മനോരമ നല്‍കിയ വാര്‍ത്ത.	PARTLY FALSE
FAKE_3023	മലയാള സിനിമ നടനും സംവിധായകനുമായ ശ്രീനിവാസൻ നിര്യാതനായി	MOSTLY FALSE
FAKE_3024	ബിജെപി ജയിച്ചാൽ ആത്യഹത്യ ചെയ്യുമെന്ന് നടൻ മധുപാൽ പറഞ്ഞിരുന്നോ…?	MOSTLY FALSE
FAKE_3025	മലയാളി ജവാന്‍ ശ്രീജിത്തിന്റെ മരണത്തിന് സൈന്യം തിരിച്ചടി നല്‍കുന്ന ദൃശ്യങ്ങള്‍	PARTLY FALSE
FAKE_3026	കോയമ്പത്തുരിൽ ചില റെസ്റ്റാറ്റാറ ണ്ടുകളിൽ ഹിന്ദു കസ്റ്റമര്മാർക്ക് പ്രത്യുത്പാദനശേഷി നശിക്കാനുള്ള മരുന്ന് ചേർത്ത് ബിരിയാണിയും മുസ്‌ലിംകൾക്ക് ആ മരുന്ന് ചേർക്കാത്ത ബിരിയാണിയും വിളമ്പിയതിന് ചിലരെ പോലീസ് അറസ്റ്റ് ചെയ്തു	MOSTLY FALSE
FAKE_3027	കടുത്ത മഴയിൽ കേരളത്തിലെ റോഡിലൂടെ ഒഴുകിപ്പോകുന്ന ബിരിയാണി ചെമ്പിന്റെ വീഡിയോ.	PARTLY FALSE
FAKE_3028	കേരളത്തിലെ കുട്ടികൾ മയക്കുമരുന്ന് ഉപയോഗിക്കുന്നു.	PARTLY FALSE
FAKE_3029	ഇന്തോനേഷ്യയിലെ ഒരു പോലീസ് ഉദ്യോഗസ്ഥന്‍ കൈകൂലി വാങ്ങുമ്പോള്‍ പിടിക്കപെട്ടു. ഇതിനു ശേഷം പരസ്യമായി ആ ഉദ്യോഗസ്ഥന്‍റെ യുണിഫോം ഊരിമാറ്റി ആ ഉദ്യോഗസ്ഥനെ പോലീസ് സേവനത്തില്‍ നിന്ന് പുറത്താക്കുന്നു	MOSTLY FALSE
FAKE_3030	രണ്ടു പെൺകുട്ടികളെ മയക്കുമരുന്ന് നൽകി ബോധരഹിതരാക്കാൻ ശ്രമിക്കുന്ന ആൺ സുഹൃത്തുക്കൾ.	PARTLY FALSE
FAKE_3031	ബംഗ്ളൂർ എയർപോർട്ടിൽ വെച്ച് ഗൾഫിലേക്ക് കൂട്ടുകാരന്റെ കൈയിൽ കൊടുത്തുവിടാൻ ശ്രമിച്ച കല്യാണ ക്ഷണകത്തുകൾ പിടിക്കപ്പെട്ടു	MOSTLY FALSE
FAKE_3032	”ഞങ്ങൾ എല്ലാവരും ഇന്ത്യൻ‘ ഹിമാലയൻ ഡ്രഗ് കമ്പനിയുടെ വളർച്ചയിൽ അഭിമാനിക്കുന്നു, പക്ഷേ അതിന്റെ ഉടമ മുഹമ്മദ് മനലിന്റെ മാനസികാവസ്ഥ കാണുകയും ഉൽപ്പന്നങ്ങൾ ഉപയോഗിക്കുന്നതിന് മുമ്പ് രണ്ടുതവണ ചിന്തിക്കുകയും ചെയ്യുക…”	MOSTLY FALSE
FAKE_3033	തവനൂര്‍ എംഎല്‍എ കെ.ടി.ജലീല്‍ തന്‍റെ പ്രദേശീക ഫണ്ട് വിനിയോഗിച്ച് നിര്‍മ്മിച്ച ബസ് കാത്തിരുപ്പ് കേന്ദ്രം	PARTLY FALSE
FAKE_3034	കെ.ടി ജലീല്‍ എംഎല്‍എയുടെ പ്രദേശിക വികസന ഫണ്ടില്‍ നിന്ന് നിര്‍മിച്ച ബസ് കാത്തിരിപ്പ് കേന്ദ്രം.	MOSTLY FALSE
FAKE_3035	പൊതുമുതൽ മോഷ്ടിക്കുന്നതിന്റെ നേർച്ചിത്രം... 11 ലക്ഷത്തിന്റെ സർക്കാർ ബസ് വെയിറ്റിംഗ് ഷെഡും, 1,22,700 രൂപക്ക് നാട്ടുകാർ നിർമിച്ച ബസ് വെയിറ്റിംഗ് ഷെഡും. വികസനത്തിന്റെ പേരിൽ രാഷ്ട്രീയക്കാർ അടിച്ചു മാറ്റുന്ന കോടികൾ എത്രയാണെന്നും എത്ര ലാഘവത്തോടെയാണ് പൊതു ഖജനാവ് കൊള്ളയടിക്കുന്നതെന്നും ...	MOSTLY FALSE
FAKE_3036	മുസ്ലിംങ്ങള്‍ അല്ലാത്തവര്‍ക്ക് സ്വര്‍ഗത്തില്‍ പോകാന്‍ സാധിക്കില്ലെന്ന്് ഉന്നതിവിദ്യാഭ്യാസമന്ത്രി കെ.ടി.ജലീല്‍ പറഞ്ഞു.	MOSTLY FALSE
FAKE_3037	ടി പി ചന്ദ്രശേഖരൻ വധത്തിന് പിന്നിൽ സി.പി.ഐ.എം ആണെന്ന് കെ.ടി ജലീൽ ഏറ്റുപറയുന്നു	PARTLY FALSE
FAKE_3038	ഒരു മുസ്ലിമിന് കമ്മ്യൂണിസ്റ്റ്‌ ആവാൻ സാധ്യമല്ല എന്ന് KT ജലീൽ 1987ൽ നടത്തിയ ഒരു പ്രസംഗത്തിൽ പറഞ്ഞു.	MOSTLY FALSE
FAKE_3039	മന്ത്രി ജലീൽ സ്വപ്നയെ ഫോണിൽ വിളിക്കാറുള്ളത് റമദാൻ മാസം രാത്രി രണ്ടുമണി സമയങ്ങളിൽ എന്നാണ് ഏഷ്യാനെറ്റ് ചാനലിന്‍റെ സ്ക്രീൻ ഷോട്ട്	PARTLY FALSE
FAKE_3040	പാക്കിസ്ഥാൻ ടീമിന് ചെന്നൈയിൽ ലഭിച്ച പിന്തുണ തമിഴ് നാട് സർക്കാര്‍ കാരണമാണ് എന്ന് പാക് ക്യാപ്റ്റൻ ബാബർ ആസം വ്യക്തമാക്കി	PARTLY FALSE
FAKE_3041	തിരുവമ്പാടി ദേവസ്വത്തിന്റെ വസ്തുക്കള്‍ സര്‍ക്കാര്‍ വില്‍പ്പനയ്ക്ക് വച്ചിരിക്കുന്നു.	MOSTLY FALSE
FAKE_3042	പിണറായി സർക്കാർ നിർമ്മിച്ച കേരളത്തിലെ ഫ്‌ളൈഓവർ.	PARTLY FALSE
FAKE_3043	കേരളത്തില്‍ സംസ്ഥാന സര്‍ക്കാര്‍ നിര്‍മ്മിച്ച മേല്‍പ്പാലം	MOSTLY FALSE
FAKE_3044	സര്‍ക്കാര്‍ ജീവനക്കാരുടെ ശമ്പളത്തില്‍ നിന്ന് നിശ്ചിത തുക പിടിച്ച് പ്രത്യേക നിധി രൂപീകരിക്കും.	MOSTLY FALSE
FAKE_3045	രാജസ്ഥാൻ സർക്കാർ കൊണ്ടുവന്ന പുതിയ നിയമ പ്രകാരം ഒരു പള്ളിയിലെയോ മദ്രസയിലെയോ ജീവനക്കാരോട് മോശമായി പെരുമാറിയാൽ മൂന്ന് വർഷം വരെ ശിക്ഷ ലഭിക്കും.	MOSTLY FALSE
FAKE_3046	ഉത്തർപ്രദേശിലെ ഒരു സർക്കാർ ഓഫീസിൽ ഉദ്യോഗസ്ഥൻ കർഷകരോട് കൈക്കൂലി ആവശ്യപ്പെട്ടതിന് കർഷകർ 40 പാമ്പുകളെ ഓഫീസിനുള്ളിൽ അഴിച്ചുവിട്ടു.	MOSTLY FALSE
FAKE_3047	ഉത്തർ പ്രദേശിൽ ഒരു സർക്കാർ ഓഫീസിൽ ഉദ്യോഗസ്ഥൻ കർഷകരോട് കൈക്കൂലി ആവശ്യപ്പെട്ടു.. കർഷകർ 40 പാമ്പുകളെ കവറിലാക്കി അഴിച്ച് വിട്ട് ഓഫീസിന്റെ വാതിൽ പുറത്ത് നിന്ന് അടച്ചു, ഇനി ജീവിതത്തിൽ കൈക്കൂലി വാങ്ങിക്കില്ലെന്ന് കേണപേക്ഷിച്ചിട്ടാണെത്രേ ഉദ്യോഗസ്തരെ കർഷകർ രക്ഷപ്പെടുത്തിയത്. ഇങ്ങനെ രസകരമ...	PARTLY FALSE
FAKE_3048	കാനഡ സർക്കാർ ആര്‍ എസ് എസിനെ നിരോധിച്ചു.	PARTLY FALSE
FAKE_3049	ഉത്തരേന്ത്യയിൽ പോയി കുങ്കുമക്കുറി അണിഞ്ഞ് നിൽക്കുന്ന മന്ത്രി മുഹമ്മദ് റിയാസ്.	MOSTLY FALSE
FAKE_3050	റിയാസിനെ മന്ത്രിയാക്കിയത് വീണ വിജയൻ	MOSTLY FALSE
FAKE_3051	ഹരിയാനയിൽ ജാഥയ്ക്ക് കല്ലെറിയുന്ന സംഘ പരിവാർ പ്രവർത്തകർ.	PARTLY FALSE
FAKE_3052	ഹരിയാനയില്‍ അക്രമം ആരംഭിച്ച കല്ലേറിന്റെ ദൃശ്യം.	MOSTLY FALSE
FAKE_3053	സ്വർണ്ണ നേട്ടവുമായി പറന്നിറങ്ങി ജാവലിൻ ചരിത്ര നേട്ടവുമായി സഖാവ് നീരജ് ചോപ്ര ഹരിയാനയിലെ മാർഗത്തിലെ ഡിവൈഎഫ്ഐ ലോക്കൽ കമ്മിറ്റി അംഗമാണ്	PARTLY FALSE
FAKE_3054	തൂണേരിയില്‍ സ്ത്രീയുടെ മാല പൊട്ടിച്ച് ഓടിയ സിപിഎം ബ്രാഞ്ച് സെക്രട്ടറി പിടിയില്‍.	MOSTLY FALSE
FAKE_3055	മഹാരാഷ്‌ടയിൽ ദളിത് സ്ത്രീ ഹിന്ദു ക്ഷേത്രത്തിൽ കയറിയത് തല്ലി കൊല്ലുന്നു. ഇതാണ് സനാതന ധർമം	MOSTLY FALSE
FAKE_3056	മഹാരാഷ്ട്രയിൽ അമ്പലത്തിൽ കയറിയതിന് ദളിത് സ്ത്രീയെ കൊന്നു	PARTLY FALSE
FAKE_3057	സംസാരിക്കാൻ കഴിയാത്ത സ്ത്രീയുടെ കുട്ടിയെ തട്ടിക്കൊണ്ട് പോകുന്ന വീഡിയോ.	PARTLY FALSE
FAKE_3058	അധോവായു പുറന്തള്ളിയാല്‍ പിഴ ഈടാക്കുമെന്ന് ഏഷ്യാനെറ്റ് ന്യൂസ് വാര്‍ത്ത നല്‍കി	PARTLY FALSE
FAKE_3059	ഏഷ്യാനെറ്റ് ന്യൂസ് ചാനലിലെ വാർത്താ അവതാരകനായ വിനു വി ജോണിന്‍റെ ട്വീറ്റ്	PARTLY FALSE
FAKE_3060	വിമാനത്തില്‍ മുഖ്യമന്ത്രിക്കെതിരെ പ്രതിഷേധിച്ച സംഭവത്തിലെ മൂന്നാം പ്രതി ഏഷ്യാനെറ്റ് ന്യൂസ് റിപ്പോര്‍ട്ടറുടെ ഭാര്യ സഹോദരനാണെന്ന് മാതൃഭൂമി ന്യൂസ് വാര്‍ത്ത	PARTLY FALSE
FAKE_3061	ചീഫ് സെക്രട്ടറിയുടെ ഗുജറാത്ത് സന്ദര്‍ശനം; ഏഷ്യാനെറ്റ് ന്യൂസ് ക്ഷമാപണം നടത്തിയെന്ന ന്യൂസ് കാര്‍ഡ്.	MOSTLY FALSE
FAKE_3062	സൗജന്യ ഭക്ഷ്യകിറ്റ് സർക്കാരിന് ബാധ്യത, അടുത്ത സർക്കാരിന് ഇത് തുടരാനാകില്ല എന്ന് എൽ.ഡി.എഫ്‌ കൺവീനർ എ. വിജയരാഘവൻ പറഞ്ഞതായി ഏഷ്യാനെറ്റ്‌ ന്യൂസ്‌ റിപ്പോർട്ട്‌.	MOSTLY FALSE
FAKE_3063	ദലിത് ബാലന്‍റെ കൊലപാതകം; ഏഷ്യാനെറ്റ് ന്യൂസ് ഡോട് കോം വ്യാജ വാര്‍ത്ത നല്‍കിയെന്ന പ്രചാരണം പച്ചക്കള്ളം	PARTLY FALSE
FAKE_3064	യൂണിടാക് ഉടമ സന്തോഷ് ഈപ്പനുമായുള്ള അഭിമുഖം ഏഷ്യാനെറ്റ് ന്യൂസ് മുക്കിയോ? പ്രചാരണം പച്ചക്കള്ളം	PARTLY FALSE
FAKE_3065	ഉമ തോമസിന്‍റെ പേരില്‍ പ്രചരിക്കുന്ന ന്യൂസ് കാര്‍ഡ്	PARTLY FALSE
FAKE_3066	ഇന്നു രാത്രി 12:30 മുതൽ 3:30 വരെ മൊബൈൽ സ്വിച്ച് ഓഫ്‌ ചെയ്യുക വളരെ നിർബന്ധമായും .സിംഗാപ്പൂർ ടിവി പുറത്തു വിട്ട വിവരമാണിത് .ഇതു വായിച്ചു നിങ്ങൾ നിങ്ങ്ളുടെ ശരീരം രക്ഷിക്കുക .നിങ്ങളുടെ കുടുംബത്തിൽ ഉള്ളവരെയും കൂട്ടുക്കാരെയും അറിയിക്കുക .ഇന്നു രാത്രി 1230 മുതൽ 3:30 വരെ ...	MOSTLY FALSE
FAKE_3067	നടന്‍ കൃഷ്ണപ്രസാദിന് നെല്‍കൃഷിയുടെ പണം കിട്ടിയില്ലെന്ന പ്രസ്ഥാവ പിന്‍വലിച്ച് ജയസൂര്യ മാപ്പ് പറഞ്ഞതായി വാര്‍ത്ത.	MOSTLY FALSE
FAKE_3068	മാസപ്പടി' വിവാദത്തില്‍ വാര്‍ത്ത നല്‍കരുതെന്ന് കേരള പത്രപ്രവര്‍ത്തക യൂണിയന്റെ നിര്‍ദ്ദേശം.	MOSTLY FALSE
FAKE_3069	ന്യൂഡൽഹി (വിശ്വാസ് ന്യൂസ്) മുംബൈ തലയില്ലാത്ത ശരീരം സ്യൂട്ട്കേസിൽ” സംഭവത്തിൽ വർഗീയ നിറമില്ല	PARTLY FALSE
FAKE_3070	ലേഡീസ് ഹോസ്റ്റലിനു മുന്നില്‍ നഗ്നതാ പ്രദര്‍ശനം നടത്തിയ കേരള കോണ്‍ഗ്രസ് നേതാവ് എ.എച്ച് ഹാഫിസിനെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.	MOSTLY FALSE
FAKE_3071	കേന്ദ്ര സേനയുടെ വെടിയുണ്ട പേടിച്ചാണ് വിഴിഞ്ഞം സമരം ഒത്തുതീര്‍പ്പില്‍ എത്തിയതെന്ന് കൈരളി ന്യൂസ് വാര്‍ത്ത	PARTLY FALSE
FAKE_3072	മെസ്സിയെ ‘മെഴ്സി’ എന്ന തരത്തില്‍ എഴുതിയ മീഡിയവണ്‍ ന്യൂസ്‌ കാര്‍ഡ്‌	PARTLY FALSE
FAKE_3073	സിനിമാതാരം മഞ്ജു വാര്യരുടെ SDPI ബന്ധം പുറത്തുവന്നു എന്ന് അവകാശപ്പെടുന്ന 24ന്യൂസ് ന്യൂസ് കാർഡ്. സിഎഎ വിരുദ്ധ കലാപം നടത്താൻ വിദേശഫണ്ട് ലഭിച്ച സിനിമാ താരങ്ങളുടെ കൂട്ടത്തിൽ മഞ്ജുവാര്യരുമുണ്ട്.	MOSTLY FALSE
FAKE_3074	ബൃന്ദ കാരാട്ട്‌ സിൽവർ ലൈൻ കല്ലിടാൻ വരുന്ന ഉദ്യോഗസ്ഥരെ തടയുന്നു.	MOSTLY FALSE
FAKE_3075	സിപിഎം പാർട്ടി കോൺഗ്രസ്സ് സ്ഥലത്ത് നിന്നും കോണ്ടവും മറ്റും കിട്ടി. കൃത്രിമമായി ഉണ്ടാക്കിയത്.	MOSTLY FALSE
FAKE_3076	"മുടി വെട്ടാന്‍ മാത്രം ബാര്‍ബര്‍ ഷോപ്പ് തുറക്കാം'"""	MOSTLY FALSE
FAKE_3077	കോൺഗ്രസ് നേതൃത്വത്തിൽ ന്യൂനപക്ഷ സാന്നിധ്യമില്ലെന്ന് എം എം ഹസൻ .	MOSTLY FALSE
FAKE_3078	നട്ടെല്ലിന് ബലക്കുറവ് മുഖ്യമന്ത്രി ചികിത്സക്കായി അമേരിക്കയിലേക്ക്	PARTLY FALSE
FAKE_3079	DyFI പ്രവർത്തകർ വീടിനു കാവൽ ഏർപ്പെടുത്തിയതിനാൽ ജോജു ജോർജ്ജ് ഭാര്യയെ വീട്ടിൽ നിന്നും മാറ്റി	MOSTLY FALSE
FAKE_3080	പരീക്ഷ എഴുതിയ വിദ്യാര്‍ത്ഥിക്ക് മാര്‍ക്കില്ല.. എഴുതാത്ത വിദ്യാര്‍ത്ഥിക്ക് ബി ഗ്രേഡ്.. എന്ന തലക്കെട്ടിലാണ് റിപ്പോര്‍ട്ടര്‍ ലൈവ് പ്രസിദ്ധീകരിച്ച വാര്‍ത്ത.	MOSTLY FALSE
FAKE_3081	മാതൃഭൂമി ന്യൂസ് എഡിറ്ററിനെയും ഭാര്യയെയും കെട്ടിയിട്ട് കവര്‍ച്ച നടത്തി	PARTLY FALSE
FAKE_3082	24 ന്യൂസ് ചാനലിന്റെ ലൈവ് ഷോയ്ക്കിടെ പ്രതിപക്ഷ നേതാവ് വി.ഡി സതീശനെതിരെ ലൈംഗീക അതിക്രമ ആരോപണവുമായി വനിത.	MOSTLY FALSE
FAKE_3083	ഡോളർ കടത്തു കേസ്, പിണറായി തിരഞ്ഞെടുപ്പിൽ മത്സരിക്കേണ്ട എന്ന് പി ബി പറഞ്ഞു - 24 ന്യൂസ്‌ റിപ്പോർട്ട്‌	PARTLY FALSE
FAKE_3084	പ്രധാനമന്ത്രിയുടെ സാമ്പത്തിക പാക്കേജിനെ അപലപിച്ചു കൊണ്ട് 24 ന്യൂസ് ചാനൽ വാർത്ത പ്രസിദ്ധീകരിച്ചു	PARTLY FALSE
FAKE_3085	സിപിഎം അനുകൂല സ്ഥാപനമായ ഊരാളുങ്കല്‍ സൊസൈറ്റി മുസ്ലീം-ക്രിസ്ത്യന്‍ വിഭാഗങ്ങള്‍ക്ക് മാത്രമായി ബാര്‍ ബൈന്‍ഡിംഗ് ആന്റ് സ്റ്റീല്‍ ഫിക്‌സിംഗ് കോഴ്‌സ് നടത്തുന്നു.	MOSTLY FALSE
FAKE_3086	ലിസി ആശുപത്രിയിലെ കാർഡിയോളജി വിഭാഗം ഡോക്ടറായ ജോ ജോസഫിന്റെ OP ടിക്കറ്റ് 750 രൂപയാണ്.	PARTLY FALSE
FAKE_3087	കോവിഡ് മൂന്നാം തരംഗത്തെക്കുറിച്ച് ആസ്റ്റര്‍ മിംമ്‌സിലെ എമരര്‍ജെന്‍സി വിഭാഗം മേധാവി ഡോ.പി.പി.വേണുഗോപാല്‍ നല്‍കുന്ന മുന്‍കരുതല്‍.	PARTLY FALSE
FAKE_3088	കോള കമ്പനി ജീവനക്കാരന് എബോള വൈറസ്-	PARTLY FALSE
FAKE_3089	മേക്കപ്പിന്റെ സഹായത്തോടെ പാലസ്തീനുക്കാർ വ്യാജ പരിക്കുകൾ ഉണ്ടാക്കുന്നു. തങ്ങളെ ഇരകളായി ചിത്രീകരിക്കാനും കുറ്റം ഇസ്രായേലിന്റെ മേൽ ചുമത്താനുമാണിത്.	MOSTLY FALSE
FAKE_3090	ഇസ്രായേല്‍ ആക്രമിച്ച് കൊലപ്പെടുത്തിയെന്ന പേരില്‍ ഹമാസ് പ്രചരിപ്പിക്കുന്ന വ്യാജ വീഡിയോ	PARTLY FALSE
FAKE_3091	"ഹമാസ് ആക്രമണത്തിൽ"" ഇസ്രായേലി ""കുട്ടിയുടെ മരണം"" എന്ന വ്യാജ വീഡിയോ"	PARTLY FALSE
FAKE_3092	സാംസങ് കമ്പനിയുടെ സമ്മാന പദ്ധതി	PARTLY FALSE
FAKE_3093	കേരളത്തിലും പൊട്ടിത്തെറി തുടങ്ങി... പോയിന്റ് 1:കേരളത്തിൽ തുടങ്ങി എന്നല്ല കേരളത്തിലും തുടങ്ങി എന്നാണ്.. പോയിന്റ് 2:കേരളത്തിൽ തുടങ്ങി, അതായത് തുടങ്ങിയിട്ടേ ഉള്ളൂ എന്ന്... ചിന്തിച്ചോളൂ...	MOSTLY FALSE
FAKE_3094	ശിരോവസ്ത്രമില്ല, കുമ്പളയില്‍ ബസില്‍ ഹിന്ദു സ്ത്രീയെ മുസ്ലീം വിദ്യാര്‍ഥിനികള്‍ ശകാരിച്ചു' എന്ന് വ്യാജ പ്രചാരണം	MOSTLY FALSE
FAKE_3095	ഗോവയില്‍ വ്യജമായി കശുവണ്ടി നിര്‍മ്മിക്കുന്ന വീഡിയോ.	PARTLY FALSE
FAKE_3096	അമ്മയുടെ വീട് കോഴിക്കോട്, അച്ചന്റെ വീട് കണ്ണൂര് . കുട്ടികൾ കണ്ണൂര് നിന്നും കോഴിക്കേട്ടേക്ക് വരുകയാണ്. അങ്ങിനെ ലണ്ടനെ വെല്ലും വിധം നല്ല റോഡിലൂടെയാത്ര ചെയ്ത മൂത്ത കുട്ടിക്ക് നടുവേദന..... ഉടനെ അടുത്തുള്ള തലശ്ശേരി സർക്കാർ ആസ്പത്രിയിൽ കയറി ..... ഹോ ഇത് എന്തൊരു മാറ്റോണ് ....... ന്യൂയോ...	MOSTLY FALSE
FAKE_3097	കേള്‍വി തകരാറുള്ള കുട്ടികള്‍ക്ക് നടത്തുന്ന സൗജന്യ കോക്ലിയാര്‍ ഇംപ്ലാന്റേഷന്‍ സര്‍ജറി പിണറായി സര്‍ക്കാര്‍ നിര്‍ത്തലാക്കി.	MOSTLY FALSE
FAKE_3098	മുസ്ലീം വിദ്യാര്‍ഥികളോ അധ്യാപകരോ കൂടുതലുള്ള കേരളത്തിലെ സ്‌കൂളുകള്‍ക്ക് മുസ്ലീം പേര് നല്‍കുന്നു.	PARTLY FALSE
FAKE_3099	ആലുവയില്‍ കൊല്ലപെട്ട അഞ്ചുവയസുകാരിയുടെ കുടുംബത്തിന് സര്‍ക്കാര്‍ ഒരു ലക്ഷം രൂപ മാത്രമാണ് നല്‍കിയത്.	MOSTLY FALSE
FAKE_3100	കാസർഗോഡ് ജില്ലയ്ക്ക് 37 അധിക പ്ലസ് വൺ ബാച്ചുകൾ അനുവദിച്ച് സംസ്ഥാന സർക്കാർ.	MOSTLY FALSE
FAKE_3101	മണിപ്പൂരിലെ സർക്കാർ നടപടികളെ ന്യായീകരിച്ചതിന് നോയിഡയിൽ ബിജെപി നേതാവിനെ നാട്ടുകാർ ഓടിച്ചിട്ട് തല്ലുന്നു.	MOSTLY FALSE
FAKE_3102	ഹജ്ജ് തീർത്ഥാടകർക്ക് സൗദി സർക്കാർ നൽകുന്ന സമ്മാനങ്ങൾ.	PARTLY FALSE
FAKE_3103	ഹജ്ജ് തീർത്ഥാടകർക്ക് സൗദി സർക്കാരിന്റെ സമ്മാന പെട്ടി.	MOSTLY FALSE
FAKE_3104	ഹിന്ദിയെയും സംസ്‌കൃതത്തെയും പരിഗണിക്കാതെ കേരള സർക്കാർ അറബി ഭാഷയെ പ്രോത്സാഹിപ്പിക്കുന്നു.	MOSTLY FALSE
FAKE_3105	കൊച്ചി മെട്രോയിൽ 819 കോടിയുടെ കേന്ദ്രവിഹിതം, സംസ്ഥാന സർക്കാരിൻ്റെ വിഹിതം പൂജ്യം	MOSTLY FALSE
FAKE_3106	ഗോവയില്‍ വ്യാജ കശുവണ്ടി നിര്‍മ്മിക്കുന്നു.	MOSTLY FALSE
