text,labels
തബ്ലീഗ് no മിസ്റ്റേക്ക് ഗവണ്മെന്റ് മിസ്റ്റേക്ക്. ഗവണ്മെന്റ് പെർമിഷൻ കൊടുത്തു.,Fake
പറഞ്ഞത് പോലെ സംഭവിക്കട്ടേ... ലോകത്തില്‍ വീണ്ടും സമാധാനം പുലരട്ടേ...,Fake
Ede sagavu  endina epo America poyadu keralitil hospital elle,Fake
Ezhuthachanu. Ninnum. Kidannum. Patham.,original
ഇനിയും ലോക്ക് ഡോൺ<br>ആണ്<br>പരിപാടി ആണെകിൽ<br>പ്രിയ സഗമേ  കിറ്റിന്<br>പകരം ഇച്ചിരി വേഷം തരണം,Fake
They revised the social distancing from 2M to 2cm so it’s fine. 🔥🤬,original
"ശാസ്ത്രം ഇന്ന് ഒന്നു പറയും, നാളെ ഒന്നു പറയും, മറ്റന്നാൾ വേറൊന്ന് പറയും... ഇന്ന് മുട്ട കഴിക്കാമെന്ന് പറയും, നാളെ കഴിക്കാൻ പാടില്ലാന്നു പറയും... അതും എന്തുകൊണ്ടാണെന്ന് മലബാർ പരിശോധിക്കണം",Fake
ചൈന വുഹാനിൽ വൈറസ് ടെസ്റ്റ് ചെയ്തു നോക്കിയതായിരിക്കുമോ. പിന്നീട് കൺട്രോൾ കിട്ടിക്കാണില്ല. മറ്റു രണ്ടു നഗരങ്ങളും അവർ ആദ്യമേ സീൽ ചെയ്തു കാണും.,Fake
Population target ethreya expect cheyyunne sirmar 🥱,Fake
അവരെവിമര്‍ശികാതെ അവരുടെ വെല്ലു വിളി ഏറ്റെടുക്കു. കുറെ കാലമായല്ലോ അവരെ കുതിരകയറാന്‍ തുടങ്ങിയിട്ട്  അവര്‍ക് ഒരു ചാന്‍സ് കൊട്ക്കു അതിന് ധൈയ്ര്യം നിങ്ങള്‍ക്കും ഇല്ല . വൈറസ് ഉണ്ടോ who എന്താണ് പറയുന്നത് അതൊന്ന് പബ്ളിഷ് ചെയ്യുമോ,Fake
മരണ വീട്ടിൽ തിരുവാതിര നടത്താം 👌അതാണ്.. അതിനുവേണ്ടി 500-ൽ പുറത്ത് ആളും ആവാം... പിന്നെ പ്രവാസികൾ ഉണ്ടാവാനും പാടില്ല..,original
We can&#39,Fake
The next North Korea.... Congratss...!!,Fake
No interest to hear you,Fake
ഓമിക്രോണിന് ഇതിലും നല്ല വരവേൽപ് ഒരു നാട്ടിലും കിട്ടൂല 😂😂😂😂,original
തൽക്കാലം ഒരു ആശ്വാസം,Fake
ഇതു സത്യമണ്ണെകിൽ എല്ലാ രാഷ്ട്രങ്ങൾ ഒത്തു ചേർന്നു ചൈന യെ ഒറ്റപെട്ടുത്തണം,Fake
അനുഭവിക്കുന്നത് പാവപ്പെട്ട സാധാരണക്കാരായ ജനങ്ങൾ ഇനി പുതിയ പ്രോട്ടോകോൾ വരും,original
വിമർശിക്കുന്നു,Fake
Neeyoke marunnu companyude kayil ninnu cash medichat kidannu chilakunnath kndille naaarikal..... Ninteyoke oru media phoooooooo,Fake
കാലം കാത്തു വെച്ച നിധിയാണ് എൻ പിണറായിക്ക...,original
ഇതൊക്കെ ഉള്ളത് തന്നെ.. 😗,original
Kumbha  mela  യെ   തകര്‍ക്കാൻ  ഉളള  Christian  Mechinery  യുടെ  കളള  പ്രചരണം.,Fake
Panna rascal  paranaari...,Fake
"<b>korona നേരത്തെ നാട് വിടും പോലും</b><br>ഒരാഴ്ച മുൻപ് ഒമ്പത്തോ പതോ സ്ഥാനത്ത് നിന്ന ഇന്ത്യ ഇന്ന് ലോ കത്ത് അഞ്ചാം സ്ഥാനത്ത് എത്തി ഇരിക്കുന്നു... ഗോൾഡ് ലഭിക്കാൻ ഇനി വിരളം ദിവസം കാത്തിരുന്നാൽ മതി എന്ന് തോന്നുന്നു<br>കൊറോണ പോകുമായിരിക്കും, പക്ഷേ എത്ര പേരെ കൂടെ കൊണ്ട് പോകും എന്ന് മാത്രം നോക്കിയാൽ മതി... ലോക് ഡൗൺഇന്റെ വിജയം എന്ന് പറയാം....<br>പോയി പണി വല്ലതും നോ ക്ക് കാറിയാച്ച<br>130  കോടി ഉള്ളത് കൊണ്ട് കുറച്ചു അങ്ങ് പോകട്ടെ...തെറ്റില്ലാത്ത വിശകലനം.....",Fake
Oro koprayangal.....,original
<b>പിണറാതിര</b>,original
തോന്നിവാസം അല്ലാതെന്തു പറയാൻ,Fake
തിരുവാതിര കളി നടക്കുമ്പോൾ ഗം ഓർത്തു ചിരിച്ചത് ഞാൻ മാത്രമാണോ?? 🤣,original
Ivide pravasikal vannal anallo kuzhapam,original
Thiruvathirakkalinadakkatte.covid.<br>കൂടുന്നു.koodatte.iniyumkoodatte.thiruvathirakalikkuaalukalpora,original
കൊറോണ സിപിഎം നേയും dyfi. യേയും ഭയക്കുന്നു. ബക്കറ്റിൽ പൈസയിടാൻ കാശില്ലാത്തതിനാൽ ഒളിച്ചോടാൻ തയാറെടുക്കുന്നു.,original
Ivde oru govt ille ea neriked kaanikumbol ellavarum urangukayaayirunno atho oru  samudayathe motham theevravaadhikal ennu vilikuvaanulla avasaram  viniyogikukayaayirunno  kalla naariya mathabraanthanmaare ningal orikalum swargathil praveshikukayilla saa.oohya dhrohikal,original
Ivareyokke jeyipichavare sammadikkanam🤐,original
പറഞ്ഞു തീരുന്നതിന് മുമ്പ് question ചോദിച്ച് വായടക്കാതെ,Fake
"കോറോണയെപ്പറ്റിയറിയാൻ ഇതൊന്നു കണ്ടുനോക്കൂ<br><a href=""https://youtu.be/d9avTdZObZ0"">https://youtu.be/d9avTdZObZ0</a>",Fake
ചുവപ്പ് നിറം ആയതുകൊണ്ട് ഓമിക്രോൺ വരില്ല.സ്തു തി ഗാനം ആയതുകൊണ്ട് കോറോണയും വരില്ല.,original
അവിടെ ഉള്ള സത്യങ്ങൾ പുറത്ത് വരില്ല,Fake
"China has created this Virous and they have the antidote. This is the weapon they tried  <br> To use against  India and US ,  but we will come back strongly.",Fake
Medam അടുപ്പില്‍ thooralle,original
മെഡിക്കൽ മാഫിയ യുടെ പിടിയിൽ അകപ്പെട്ടുപോയി ഇന്ന് ലോകം. അവർക്കുവേണ്ടി ശബ്ദിക്കാനും സംരക്ഷണം ഒരുക്കാനും നമ്മുടെ മുഖ്യധാരാ മാധ്യമങ്ങളും സർക്കാരും മത്സരിക്കും . നാം കഴിക്കുന്നതും  ശ്വസിക്കുന്നതും ഒക്കെ വിഷമയമാണെന്നു ഇക്കൂട്ടർക്ക് അറിയാൻ മേലാഞ്ഞിട്ടല്ല . &quot,Fake
ithoru ottapeetta sambavam ayirikkum.. <br>Mandanmar,original
Super,original
Balikudeerangale....... Jai dingan,original
ഷാജൻ സാർ ഈ വാർത്തയിൽ പറഞ്ഞ് ശുഭസൂചന സത്യമായി ഭവിക്കട്ടെ വളരെ നന്ദി സാർ,Fake
Koronaiku sesham veendum namal pazhaya kuththazhinja jeevitham thanne thudarananu bhavamenkil ithilum valiya duranthangal undakum.Deivathe snehichum Deivakalpanakal anusarichum jeevikkan nammuk kazhiyumarakanam.that is better.,Fake
കാരണ ഭൂതം 🤣🤣🤣,original
അല്ലേലും മാർകിസ്റ്റ് പാർട്ടിക്കാർക്ക് ഇത്തിരി ധാർഷ്ട്യം കൂടുതൽ ആണ്.. അവർക്ക് എന്ത് തോന്യസവും കാണിക്കാം അതിൽ തെറ്റില്ല.. പക്ഷേ അത് തന്നെ വേറെ ആരേലും കാണിച്ച അത് വലിയ തെറ്റാണ് കേസ് ആണ്.. ഇരട്ട ചങ്ക് എന്നല്ല ഇരട്ടത്താപ്പ് എന്ന് വേണം പറയാൻ,original
Kitt vangi kuthiyavarella moonji nadakkunnu 🤣🤣🤣🤣,original
Ok  Sir  Thank  u  🙏🙏🙏🙏👍👍👍🌹🌹🌹,Fake
Prepare List of all products from Chineese companies n stop buying it,Fake
ബുദ്ധിയില്ലായ്മ അന്താരാഷ്ട്ര രംഗത്ത് ചർച്ച ആക്കുക തബ് ലീഗിൻറെ പേരിൽ ഇന്ത്യയിലെ മുസ്ലീങ്ങളെ വേട്ടയാടിയ ഗവൺമെൻറ് നെതിരെ  ഇന്ത്യയിലെ എല്ലാ മതേതര കക്ഷികളും ഒന്നിക്കുക,Fake
ന്തായാലും ബീഫിന്റെ പേരിൽ കുറെ നിരപരാധികളെ കൊന്ന ചാണകങ്ങൾ ചെയ്തതിനേക്കാൾ വലിയൊരു തെറ്റ്.. ഇനി ഈ ലോകത്തു ആരും ചെയ്യില്ല..ചെയ്യാൻ സാധിക്കില്ല 🤸,original
Evar oke ntena verte virus nne indakan nadakn,Fake
അവരുടെ ഭക്ഷണ രീതി വളരെ കഷ്ടമാണ് പിന്നെ ഇത് പോലത്തെ വൈറസ് വരാതിരിക്കൂ ....  പിന്നെ അവിടെ മുസ്ലിങ്ങളെ തടവിലിട്ടു അവർ എന്ത് നേടി പടച്ചവന്റെ  പരീക്ഷണം  തന്നെ  ..  അള്ളാഹു കാക്കട്ടെ..  ആമീൻ,Fake
Ningal 7aum arivu kandaal porey😅,Fake
മന്ദബുദ്ധികളെ ഭരണഘടന സംരക്ഷിക്കുവാൻ ചുമതലപെടുത്തിയാൽ ഇങ്ങനെയൊക്കെ ഇരിക്കും,original
America in Europe. 😅😅😅😅😅,Fake
Halal.  Covide.    O. K,Fake
We&#39,Fake
എല്ലാ മാഫിയ ക്കൾക്കും പേടിയാകുന്നുണ്ടോ മാഫിയ ക്കാരെ&#39,Fake
പ്രകൃതിക്ക് ഒരു ബാലൻസ് ഉണ്ട്. Amazon കാട് കത്തിയപ്പോൾ എത്ര ജീവജാലങ്ങൾ നഷ്ടപ്പെട്ടു അതിനു തുല്യമായ മനുഷ്യരും നഷ്ടപ്പെടും.,Fake
THERE IS A DIVINE HAND BEHIND IT.RETURN TO MORALITY,Fake
Kodi matre undavu anikal kanilla😄😄😄,original
Manushyathwam illatha  kammikalalle China bharikunnathu  athukondu ithil athbhuthapedendathilla,Fake
Entealiyasammathichu,Fake
കേരളത്തിലേക്കുള്ള ഒമിക്രോണിൻ്റെ വരവ് ആഘോഷമാക്കി കേരളാ സർക്കാർ. തനിക്ക് ലഭിച്ച ഗംഭീര സ്വീകരണത്തിന് ഒരുപാട് നന്ദിയുണ്ടെന്നും ഉടനെയൊന്നും ഈ നാട് വിട്ട് പോവില്ലെന്നും ഒമിക്രോൺ പ്രതികരിച്ചു.,original
എന്താ പിള്ളേച്ചാ കേസ് എടക്കുനിലേ.151 മതി നികുന്നവനെ തോട്ട് പിടിച്ചു ഫൈൻ അടിച്ചാലോ sagave,original
ഇവിടെ ഇപ്പോഴും നേരം വെളുക്കാത്ത അന്തങ്ങൾ ഉണ്ട്,original
മൂക്കിപ്പനി എല്ലായിടത്തും വിധികൾ ഭരിക്കുന്നിട൦ ആഘോഷമാക്കു൦. നല്ല ഉപ്പു കഞ്ചാവു നിരോധനം പിൻവലിക്കുക നൃുമോണിയ മാറു൦,original
ഉളുപ്പില്ലായ്മയേ നിന്നെ ഞാൻ CPM എന്ന് വിളിക്കും,original
"Jaiva.yudham- ithu thanne 3 rd lola Maha yudham.Manushyar aaydham use chaitu war nadathuna kaalam vitittu Jaiva wepons use chaitu.ivide skhya sakthikal Uthara Coria,Russia,Beijing. Thats all.",Fake
Ith നേരത്തെ അറിയാവുന്നതല്ലേ,Fake
അയ്യേ കഷ്ടം,original
🤦ഇങ്ങനെ പോയാൽ ശവ മേള സംഘടിപ്പിക്കേണ്ടി വരും 😀👍,Fake
നാളെ എന്റെ കല്യാണം ആണ് 100പേരെ വിളിച്ചിട്ടുള്ളു പിന്നെ 500പേർ അടങ്ങുന്ന തിരുവാതിര കളി ഉണ്ട് അപ്പോൾ കുഴപ്പം ഇല്ലല്ലോ 🤗🤗🤗,original
നേതാവിന്റെ അപ്പി തിന്നു ജീവിക്കുന്നവർ ആ അപ്പി വരെ ബിരിയാണി ആന്ന് പറഞ്ഞ് ന്യായീകരിക്കുന്ന് പിന്നെയാണിത്,Fake
Nthonnade ithu,Fake
ഇത് പണ്ടേ അറിയാവുന്ന കാര്യമാണ്. ചൈന എന്നും ലോകത്തിന് എതിരാണ്.ഉദാഹരണം ടിബറ്റ്   ടിയാമൻ സ്ക്വയർ  ഹോങ്കോങ്  അറുനാചൽ പ്രദേശ് അങ്ങിനെ എത്രയോ.,Fake
evatakalkonum nanam ele ! enth tengayan eth !,original
Adutha masam ente thiruvathira aanu..kalyanam alla kettoo...party layanam aanuu🤣🤣,original
കൊറോണ മാറിയിട്ടില്ല മാറിയത് ലോക്ക് downum ജനങ്ങളുടെ പേടിയും മാത്രമാണ്,Fake
Nhangal mamma channelukal kanunnath nirthy.Jai Sajan Sir.🙏🙏,Fake
American   Tramppp    nntta  purrakaa   pooyia   mooddy   .Rasshiya    is   forget,Fake
ഈ കാരണ ഭൂതത്തെ തുറന്നു വിട്ട നമ്പൂതിരിക്ക്  ആയിരം നമസ്കാരം. ബോറടിച്ചു നിക്കുമ്പോഴ കോമഡി,original
Thiruvathira Party of India 😭😭🤣😂🤣😂😂🤣🤣😂🤣🤣😂,original
ഒരു വശത്ത് വിലാപയാത്ര മറുവശത്ത് തിരുവാതിര കളിച്ച് കോവിഡും പരത്തിയുള്ള ഒരു രക്തസാക്ഷിയെ കിട്ടിയ ആഹ്ലാദം നിറഞ്ഞ ആഘോഷവും കൊള്ളാം വിവരദോഷികൾ!!! ഇവർക്കെതിരെ കേസ് രജിസ്റ്റർ ചെയ്തു ശിക്ഷിക്കുക!!!,original
ചൈനീസ് ഫോണിലൂടെ കാണുന്ന വർ ലെക്കടിക്കുക,Fake
നിങ്ങള് വൈറസിനെ കണ്ടിട്ടുണ്ടോ .,Fake
Makaravilakkum kaanikkane,Fake
ഇത് ഒരു ബയോ വാറിനായി റിസർച്ച് ചെയ്യാൻ കൂടി വെച്ചിരുന്ന വൈറസ് കൈവിട്ടു പോയതാണെന്ന് സാമാന്യ ബുദ്ധി ഉള്ള എല്ലാവർക്കും അറിയാം പ്രകൃതിയിൽ കാണുന്ന വൈറസിനെ mutation മൂലം മാറ്റം വരുത്തി ആയുധത്തിൽ ഉപയോഗിക്കാൻ ഉള്ള ശ്രമത്തിൽ കൈവിട്ടു പോയ ഒരു പരീക്ഷണം ചൈനയെ ഒറ്റ പെടുത്തുക അത് മാത്രമേ ഇതിനു പ്രതിവിധിയായി ഉള്ളു,Fake
Old story... Bring something new,Fake
Attukal pongala anuvadhikkanam..... Ithinekkaaalum surakshidhamaaanu,original
എല്ലാം പിണറായി ദൈവം 💰💰💰💰🙆,original
പൊളിയേ 😂😂😂😂,original
Ethu എഴുതിയ തിരുമേനി പറഞ്ഞു ഈ paatu ആരെയും udeshichillennu,Fake
Until now there is no evidence that virus is genetically created. I will be doing such a video in Qnow channel,Fake
Super  👌,original
Sathaythill ethokke avarude plan annu,Fake
Chinaye illaathaakkanam,Fake
"താങ്കൾ പറഞ്ഞാതാണ് സത്യം, ഇനിയെങ്കിലും ഇൗ അഞ്ചുമണി തള്ളു നിർത്തിയില്ല എങ്കിൽ കേരളത്തിലെ സാമൂഹിക അന്തരീക്ഷം കലുഷിതം ആകും.",Fake
Miiyran maru motham kulam thonditte poku.. Vote cheytha jayipichavan oke anubhavikate,original
നാട്ടിലെക്ക് പോവുന്ന പ്രവാസികൾ ശ്രദ്ധിക്കുക - കോവിഡ് പിടിക്കാതിരിക്കാൻ -,original
Maybe this is secret biological war between America and Europe and another view point is the use of dictatorship and defect of democracy,Fake
ചൈന നാറികൾക്ക്  ലോകം മൊത്തം അവരുടെ കാൽകീഴിൽ വരണം എന്നാണ്,Fake
Koottam koodaruth ennu parannjaaal ningalkk mansssillaavilley....,original
ഈ സമയത്ത് പരിപാടി അവതരിപ്പിച്ച മുഴുവന്‍ ആളുകളെയും പബ്ലികിൽ വിചാരണ ചെയ്യണം.ശിക്ഷിക്കണം... ഏത്‌ കൊമ്പത്ത് ഇരിക്കുന്ന തമ്പുരാന്‍ ആയാലും ശരി..,original
Ne podee,original
"Nalla vartha  good - innu kalathumuthal whatsappil karangunna oru item eduthu varthayakki, pl bear in mind Kerala people r much ahed of u, pl have some true investigative jounalisam.",Fake
Party സമ്മേളനം എല്ലാം കഴിയുമ്പോൾ ഒരു ലോക്കഡോൺ und.......,original
"Ellaarum Vimarshichitt Pinaraayi daivathinte kopam vaangi koottanda, ath mathi covid parakkaan 😌....",original
"Already some of chinese doctors reported 2019 september , corona virus and pneumonia, also news reported later they deleted news. Indian top news channel reported (WION) these political agenda..",Fake
അവതാരകൻ പൊളി...,original
"Really, there is a huge deal of foul play. This seems to be a biological weapon to destroy the world order.",Fake
കാലം ഉത്തരം തരും...,original
👺👺👺ആരെവിടെ<br>കൊണ്ടുവരാൻ<br>ചുരൽ കഷായവും 👺👺👺കാ‍ന്താരി അരച്ചതും 👺👺👺👺,Fake
ബിൽഗേറ്റ്സ് ന്റെ depopulation അജണ്ടയുടെ ഭാഗമാണ് ഈ വൈറസ്.,Fake
മൈരേ  നീ  അല്ലെ  ഇതിന്റ മുൻപ്  പറന്നത്  കൊറോണ  വൈറസ്  വന്ന്  200 പട്ടാളക്കാരെ  കൊന്നു  എന്ന് നോർത്ത്  കൊറിയ,Fake
😂😂😂😂😂😂 ഉളുപ്പ്,original
രാജ്യം തകർക്കാനുള്ള ആസൂത്രിത ശ്രമമാണ് ഈ ജിഹാദി സമ്മേളനത്തിന് പിന്നിലുള്ളത്,Fake
ചൈനയിലെ ഈ വുഹാൻ സ്വതന്ത്ര രാജ്യമാണോ??<br>റഷ്യ അറിഞ്ഞ സമയം മുതൽ അതിർത്തി അടച്ച രാജ്യമാണ്.<br>പിന്നെ ചൈനയിൽ എവിടെ എന്തൊക്കെ എന്ന് ചൈനക്കേ അറിയൂ എന്ന് ഒരിക്കൽ പറയും.<br>മറ്റൊരിക്കൽ എല്ലാ വിവരവും മറുനാടനും ലഭ്യമാവുന്നു.<br>ഹ..ഹ..ഹ..,Fake
എത്രയും പെട്ടെന്ന് മാറികിട്ടട്ടെ,Fake
ചൈനയിക്ക് കൊടുക്കാൻ വൈറസ് ഒന്നും ഇല്ലേ. ഇല്ലെങ്കിൽ മിസ്സെൽ കൊടുക്ക്‌ അവന്റെയൊക്കെ നെഞ്ചാം കുടിക്കു കൊടുക്കണം.പരനാറികൾ ഇവന്മാരെ ഭൂപടത്തിൽ നിന്നും മാറ്റേണ്ട സമയം കഴിഞ്ഞു.,Fake
"😄😄😄😄, എന്തൊരു കഷ്ടാണ്",original
Ramzan adukkumbazhekkum  lock aakkum athallea oru sugho ....,Fake
ഈ പരുപാടി 😂❤️‍🔥,original
എന്നിട്ടും പ്രവാസികൾക്ക് ആണ് നിർബന്ധിത ക്വാറന്റൈൻ ശബാഷ്,original
Rip തിരുവാതിര 😂😂,original
ആസനത്തിൽ വാല് മുളച്ചാൽ തണലു കിട്ടും,Fake
pravasikl onum oru cash polum sahayikaruth evanmare,original
കൊറോണപിടിപെട്ട  രജ്ജങ്ങൾ എല്ലാംകൂടിഒരുമിച്ച് ചൈനയെ പുകക്കുക,Fake
അവിടെ നമ്മുടെ ഇൻഡ്യക്കാർ കുറവായിരിക്കും,Fake
ഇവന്മാരുടെയൊക്കെ തലയിൽ പരിപ്പുവടയാണോ.<br>വിഡ്ഢികൾ. ഒരു ഉളുപ്പ് വേണ്ടേ. <br>ശ്രീകൃഷ്ണ ജയന്തി ആഘോഷിക്കുന്ന തിരുവാതിര പാർട്ടി<br>കഷ്ടം. ശർദിക്കാൻ വരുന്നു,original
"ആഹ, വയലാർ എഴുതോ ഇതുപോലത്തെ വരികൾ",Fake
Saadhikkatte enn aashamsikkunnu,original
kashtam ithupolulla komaali sarkar swapnanglil maathram,original
